,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type
27278,PG34597,McAllister and His Double,"Train, Arthur Cheney",1875.0,1945.0,['en'],26,"{'Single men -- Fiction', 'Valets -- Fiction', 'Mystery and detective stories', 'Short stories'}",
27282,PG345,Dracula,"Stoker, Bram",1847.0,1912.0,['en'],19094,"{'Gothic fiction', 'Vampires -- Fiction', 'Whitby (England) -- Fiction', 'Dracula, Count (Fictitious character) -- Fiction', 'Epistolary fiction', 'Transylvania (Romania) -- Fiction', 'Horror tales'}",
27288,PG34605,"Betty Lee, Freshman","Grove, Harriet Pyne",,,['en'],39,"{'School sports -- Juvenile fiction', 'High school students -- Juvenile fiction', 'Schools -- Juvenile fiction', 'Students -- Juvenile fiction', 'Ninth grade (Education) -- Juvenile fiction'}",
27293,PG3460,Old Fritz and the New Era,"Mühlbach, L. (Luise)",1814.0,1873.0,['en'],58,"{'Prussia (Germany) -- History -- Frederick II, 1740-1786 -- Fiction', 'Frederick II, King of Prussia, 1712-1786 -- Fiction'}",
27302,PG34618,Twenty-Four Unusual Stories for Boys and Girls,"Tyler, Anna Cogswell",1859.0,1923.0,['en'],64,"{'Short stories', ""Children's stories""}",
27316,PG34630,Some Experiences of an Irish R.M.,"Ross, Martin",1862.0,1915.0,['en'],61,"{'British -- Ireland -- Fiction', 'Ireland -- Social life and customs -- Fiction', 'Justices of the peace -- Fiction', 'Humorous stories, English'}",
27334,PG34647,Letters of a Javanese Princess,"Kartini, Raden Adjeng",1879.0,1904.0,['en'],813,"{'Feminists -- Indonesia -- Java -- Correspondence', 'Kartini, Raden Adjeng, 1879-1904 -- Correspondence', 'Women -- Indonesia -- Java -- Social conditions'}",
27342,PG34654,Character and Opinion in the United States: With Reminiscences of William James and Josiah Royce and Academic Life in America,"Santayana, George",1863.0,1952.0,['en'],57,"{'Royce, Josiah, 1855-1916', 'Philosophy, American -- 19th century', 'National characteristics, American', 'United States -- Civilization -- 1865-1918', 'James, William, 1842-1910'}",
27348,PG3465,Under Two Flags,Ouida,1839.0,1908.0,['en'],111,"{'Love stories', 'Algeria -- Fiction', 'British -- Algeria -- Fiction', 'France. Armée. Légion étrangère -- Fiction'}",
27364,PG34674,The Baron's Sons: A Romance of the Hungarian Revolution of 1848,"Jókai, Mór",1825.0,1904.0,['en'],21,{'Hungary -- History -- Uprising of 1848-1849 -- Fiction'},
27370,PG3467,The Life of Cesare Borgia,"Sabatini, Rafael",1875.0,1950.0,['en'],125,"{'Renaissance -- Italy', 'Borgia, Cesare, 1476?-1507'}",
27371,PG34680,The Messiah in Moses and the Prophets,"Lord, Eleazar",1788.0,1871.0,['en'],19,"{'Bible -- Prophecies', 'Bible. Old Testament -- Prophecies', 'Messiah -- Prophecies'}",
27393,PG346,"The Troll Garden, and Selected Stories","Cather, Willa",1873.0,1947.0,['en'],253,"{'Short stories', 'Man-woman relationships -- Fiction', 'United States -- Social life and customs -- Fiction', 'Nebraska -- Social life and customs -- Fiction'}",
27411,PG34716,Through Nature to God,"Fiske, John",1842.0,1901.0,['en'],43,"{'Natural theology', 'Theism'}",
27426,PG3472,Merton of the Movies,"Wilson, Harry Leon",1867.0,1939.0,['en'],29,"{'Hollywood (Los Angeles, Calif.) -- Fiction', 'Motion picture industry -- Fiction'}",
27427,PG34730,Charles Darwin,"Allen, Grant",1848.0,1899.0,['en'],21,"{'Darwin, Charles, 1809-1882'}",
27433,PG34736,"True Christianity: A Treatise on Sincere Repentence, True Faith, the Holy Walk of the True Christian, Etc.","Arndt, Johann",1555.0,1621.0,['en'],231,"{'Christian life', 'Christianity'}",
27448,PG3474,Jeremy,"Walpole, Hugh",1884.0,1941.0,['en'],20,"{'England -- Fiction', 'Boys -- Fiction'}",
27452,PG34753,Romantic Spain: A Record of Personal Experiences (Vol. I),"O'Shea, John Augustus",1840.0,1905.0,['en'],56,{'Spain -- Description and travel'},
27456,PG34757,"Mashi, and Other Stories","Tagore, Rabindranath",1861.0,1941.0,['en'],101,"{'Tagore, Rabindranath, 1861-1941 -- Translations into English', 'Short stories, Bengali -- Translations into English', 'India -- Social life and customs -- Fiction'}",
27457,PG34758,813,"Leblanc, Maurice",1864.0,1941.0,['en'],157,"{'Lupin, Arsène (Fictitious character) -- Fiction', 'Burglars -- Fiction'}",
27466,PG34766,"Shorter Novels, Eighteenth Century: The History of Rasselas, Prince of Abyssinia; The Castle of Otranto, a Gothic Story; Vathek, an Arabian Tale","Johnson, Samuel",1709.0,1784.0,['en'],68,{'English fiction -- 18th century'},
27470,PG3476,Henry VIII and His Court: A Historical Novel,"Mühlbach, L. (Luise)",1814.0,1873.0,['en'],86,"{'Courts and courtiers -- Fiction', 'Catharine Parr, Queen, consort of Henry VIII, King of England, 1512-1548 -- Fiction', 'Henry VIII, King of England, 1491-1547 -- Fiction'}",
27480,PG34779,"Lachesis Lapponica; Or, A Tour in Lapland, Volume 1","Linné, Carl von",1707.0,1778.0,['en'],54,"{'Lapland -- Description and travel', 'Natural history -- Lapland'}",
27498,PG34795,The Golden Triangle: The Return of Arsène Lupin,"Leblanc, Maurice",1864.0,1941.0,['en'],108,"{'Lupin, Arsène (Fictitious character) -- Fiction', 'Burglars -- Fiction', 'Detective and mystery stories'}",
27503,PG3479,The Metal Monster,"Merritt, Abraham",1884.0,1943.0,['en'],113,"{'Science fiction', 'Adventure and adventurers -- Fiction', 'Tibet Autonomous Region (China) -- Fiction'}",
27525,PG34819,The Village Notary: A Romance of Hungarian Life,"Eötvös, József, báró",1813.0,1871.0,['en'],25,{'Hungary -- Fiction'},
27526,PG3481,The Life of George Borrow,"Jenkins, Herbert George",1876.0,1923.0,['en'],75,"{'Borrow, George, 1803-1881', 'Authors, English -- 19th century -- Biography'}",
